version,dataset,patch_size,blocks,threads,time
./bin/v1,./data/noise_image_tulips_const.txt,3,2048,64,0.037200
./bin/v1,./data/noise_image_tulips_const.txt,3,2048,128,0.035344
./bin/v1,./data/noise_image_tulips_const.txt,3,2048,256,0.035333
./bin/v1,./data/noise_image_tulips_const.txt,3,2048,512,0.051441
./bin/v1,./data/noise_image_tulips_const.txt,3,2048,1024,0.051601
./bin/v1,./data/noise_image_tulips_const.txt,3,2048,2048,0.000801
./bin/v1,./data/noise_image_tulips_const.txt,3,4094,32,0.037021
./bin/v1,./data/noise_image_tulips_const.txt,3,4094,64,0.032480
./bin/v1,./data/noise_image_tulips_const.txt,3,4094,128,0.035320
./bin/v1,./data/noise_image_tulips_const.txt,3,4094,256,0.035342
./bin/v1,./data/noise_image_tulips_const.txt,3,4094,512,0.051611
./bin/v1,./data/noise_image_tulips_const.txt,3,4094,1024,0.051535
./bin/v1,./data/noise_image_tulips_const.txt,3,4094,2048,0.000807
./bin/v1,./data/noise_image_tulips_const.txt,5,16,32,0.527818
./bin/v1,./data/noise_image_tulips_const.txt,5,16,64,0.222457
./bin/v1,./data/noise_image_tulips_const.txt,5,16,128,0.134963
./bin/v1,./data/noise_image_tulips_const.txt,5,16,256,0.102275
./bin/v1,./data/noise_image_tulips_const.txt,5,16,512,0.104669
./bin/v1,./data/noise_image_tulips_const.txt,5,16,1024,0.187859
./bin/v1,./data/noise_image_tulips_const.txt,5,16,2048,0.001404
./bin/v1,./data/noise_image_tulips_const.txt,5,32,32,0.197418
./bin/v1,./data/noise_image_tulips_const.txt,5,32,64,0.116198
./bin/v1,./data/noise_image_tulips_const.txt,5,32,128,0.074659
./bin/v1,./data/noise_image_tulips_const.txt,5,32,256,0.069975
./bin/v1,./data/noise_image_tulips_const.txt,5,32,512,0.076199
./bin/v1,./data/noise_image_tulips_const.txt,5,32,1024,0.188496
./bin/v1,./data/noise_image_tulips_const.txt,5,32,2048,0.001394
./bin/v1,./data/noise_image_tulips_const.txt,5,64,32,0.118016
./bin/v1,./data/noise_image_tulips_const.txt,5,64,64,0.074964
./bin/v1,./data/noise_image_tulips_const.txt,5,64,128,0.072484
./bin/v1,./data/noise_image_tulips_const.txt,5,64,256,0.072326
./bin/v1,./data/noise_image_tulips_const.txt,5,64,512,0.076369
./bin/v1,./data/noise_image_tulips_const.txt,5,64,1024,0.188996
./bin/v1,./data/noise_image_tulips_const.txt,5,64,2048,0.001473
./bin/v1,./data/noise_image_tulips_const.txt,5,128,32,0.073537
./bin/v1,./data/noise_image_tulips_const.txt,5,128,64,0.070245
./bin/v1,./data/noise_image_tulips_const.txt,5,128,128,0.070743
./bin/v1,./data/noise_image_tulips_const.txt,5,128,256,0.072822
./bin/v1,./data/noise_image_tulips_const.txt,5,128,512,0.112085
./bin/v1,./data/noise_image_tulips_const.txt,5,128,1024,0.188081
./bin/v1,./data/noise_image_tulips_const.txt,5,128,2048,0.001462
./bin/v1,./data/noise_image_tulips_const.txt,5,256,32,0.066000
./bin/v1,./data/noise_image_tulips_const.txt,5,256,64,0.073140
./bin/v1,./data/noise_image_tulips_const.txt,5,256,128,0.074038
./bin/v1,./data/noise_image_tulips_const.txt,5,256,256,0.072767
./bin/v1,./data/noise_image_tulips_const.txt,5,256,512,0.112792
./bin/v1,./data/noise_image_tulips_const.txt,5,256,1024,0.188771
./bin/v1,./data/noise_image_tulips_const.txt,5,256,2048,0.001450
./bin/v1,./data/noise_image_tulips_const.txt,5,512,32,0.070312
./bin/v1,./data/noise_image_tulips_const.txt,5,512,64,0.072774
./bin/v1,./data/noise_image_tulips_const.txt,5,512,128,0.074057
./bin/v1,./data/noise_image_tulips_const.txt,5,512,256,0.072723
./bin/v1,./data/noise_image_tulips_const.txt,5,512,512,0.112841
./bin/v1,./data/noise_image_tulips_const.txt,5,512,1024,0.188932
./bin/v1,./data/noise_image_tulips_const.txt,5,512,2048,0.001440
./bin/v1,./data/noise_image_tulips_const.txt,5,1024,32,0.070803
./bin/v1,./data/noise_image_tulips_const.txt,5,1024,64,0.073101
./bin/v1,./data/noise_image_tulips_const.txt,5,1024,128,0.074145
./bin/v1,./data/noise_image_tulips_const.txt,5,1024,256,0.072576
./bin/v1,./data/noise_image_tulips_const.txt,5,1024,512,0.112768
./bin/v1,./data/noise_image_tulips_const.txt,5,1024,1024,0.189051
./bin/v1,./data/noise_image_tulips_const.txt,5,1024,2048,0.001433
./bin/v1,./data/noise_image_tulips_const.txt,5,2048,32,0.071142
./bin/v1,./data/noise_image_tulips_const.txt,5,2048,64,0.072839
./bin/v1,./data/noise_image_tulips_const.txt,5,2048,128,0.074256
./bin/v1,./data/noise_image_tulips_const.txt,5,2048,256,0.072610
./bin/v1,./data/noise_image_tulips_const.txt,5,2048,512,0.112976
./bin/v1,./data/noise_image_tulips_const.txt,5,2048,1024,0.189004
./bin/v1,./data/noise_image_tulips_const.txt,5,2048,2048,0.001474
./bin/v1,./data/noise_image_tulips_const.txt,5,4094,32,0.071256
./bin/v1,./data/noise_image_tulips_const.txt,5,4094,64,0.078116
./bin/v1,./data/noise_image_tulips_const.txt,5,4094,128,0.075340
./bin/v1,./data/noise_image_tulips_const.txt,5,4094,256,0.073620
./bin/v1,./data/noise_image_tulips_const.txt,5,4094,512,0.113392
./bin/v1,./data/noise_image_tulips_const.txt,5,4094,1024,0.188927
./bin/v1,./data/noise_image_tulips_const.txt,5,4094,2048,0.001459
./bin/v1,./data/noise_image_tulips_const.txt,7,16,32,0.656408
./bin/v1,./data/noise_image_tulips_const.txt,7,16,64,0.410826
./bin/v1,./data/noise_image_tulips_const.txt,7,16,128,0.294254
./bin/v1,./data/noise_image_tulips_const.txt,7,16,256,0.289112
./bin/v1,./data/noise_image_tulips_const.txt,7,16,512,0.360448
./bin/v1,./data/noise_image_tulips_const.txt,7,16,1024,0.517044
./bin/v1,./data/noise_image_tulips_const.txt,7,16,2048,0.002277
./bin/v1,./data/noise_image_tulips_const.txt,7,32,32,0.337604
./bin/v1,./data/noise_image_tulips_const.txt,7,32,64,0.230580
